iter	MultiClass
0	1.964761457
1	1.764071249
2	1.605387998
3	1.479505734
4	1.37259615
5	1.292775449
6	1.219870689
7	1.156818455
8	1.098320088
9	1.04850526
10	1.004920197
11	0.9687964788
12	0.9327402274
13	0.9036356939
14	0.8702812737
15	0.8415153697
16	0.8135607207
17	0.7880493687
18	0.7638289592
19	0.7458901434
20	0.7269940914
21	0.7089766861
22	0.6924808546
23	0.6797460282
24	0.6676540435
25	0.6567681839
26	0.644340449
27	0.6338174416
28	0.6227183739
29	0.6116970182
30	0.602181024
31	0.5923231902
32	0.584388387
33	0.5752938291
34	0.5674075172
35	0.5600326766
36	0.5537046839
37	0.5490253255
38	0.5429313269
39	0.5379088476
40	0.5325042161
41	0.5277105977
42	0.523184686
43	0.5189541731
44	0.5149319013
45	0.5105980782
46	0.5067317363
47	0.5027708631
48	0.4994173413
49	0.4953715235
50	0.491741386
51	0.4874734457
52	0.4839995991
53	0.4808840476
54	0.4785213098
55	0.4751368053
56	0.472278563
57	0.4698492945
58	0.4672093179
59	0.464527725
60	0.4621184858
61	0.4592746289
62	0.4577955766
63	0.4546393975
64	0.4527638501
65	0.4500156422
66	0.4468714442
67	0.4449168518
68	0.4425554644
69	0.4407827695
70	0.4390861043
71	0.4375065886
72	0.4352743686
73	0.4333257663
74	0.4316080352
75	0.4300835884
76	0.4281354568
77	0.4257652254
78	0.4232973321
79	0.4207634889
80	0.4187748009
81	0.4173938823
82	0.4160523587
83	0.4148341466
84	0.4133059686
85	0.4122316663
86	0.410085751
87	0.4083298011
88	0.4061839747
89	0.4047948122
90	0.4037574919
91	0.4030855377
92	0.4014260719
93	0.3993804299
94	0.3976012948
95	0.3964781279
96	0.3951521889
97	0.3928359723
98	0.3913224996
99	0.389200084
100	0.3876763295
101	0.3866309964
102	0.3852298894
103	0.3844557215
104	0.3832139023
105	0.381991422
106	0.3810112602
107	0.3795910176
108	0.3782400484
109	0.3773620911
110	0.3753898187
111	0.3740192147
112	0.3731047213
113	0.3716897661
114	0.3701686931
115	0.3693843123
116	0.3687186031
117	0.3678336319
118	0.3674641293
119	0.3660768933
120	0.3645236053
121	0.3641031855
122	0.3628151965
123	0.3624424731
124	0.3607528517
125	0.3596148187
126	0.3590833078
127	0.3579166621
128	0.3574756161
129	0.3573025745
130	0.3570563007
131	0.35603142
132	0.3549625997
133	0.3543502842
134	0.353095148
135	0.3521499953
136	0.3512940431
137	0.3504857136
138	0.3496902723
139	0.348977381
140	0.3481827888
141	0.3475797831
142	0.3469644791
143	0.3467913492
144	0.3459839335
145	0.3454034834
146	0.3442584197
147	0.3435141564
148	0.342603685
149	0.3415405671
150	0.3406718669
151	0.3403407413
152	0.3399692785
153	0.3392254276
154	0.3385228293
155	0.3378972402
156	0.337273812
157	0.3367451043
158	0.3362649387
159	0.3355938162
160	0.3353652436
161	0.334872072
162	0.3344383814
163	0.3329841293
164	0.3324797541
165	0.3320893114
166	0.3316979231
167	0.3308572906
168	0.3306517161
169	0.3302155873
170	0.3294071103
171	0.3287701319
172	0.3283265052
173	0.3277079927
174	0.3268719076
175	0.3265132993
176	0.3263294822
177	0.3257743424
178	0.3249614956
179	0.3246631018
180	0.3239474872
181	0.3233107486
182	0.3230246168
183	0.3224931605
184	0.3221109914
185	0.3214493163
186	0.3206352094
187	0.320155388
188	0.3196266866
189	0.3192747536
190	0.3186406749
191	0.3179814225
192	0.3176489961
193	0.3171907695
194	0.3165861504
195	0.3159692608
196	0.3155641401
197	0.3152631772
198	0.314829981
199	0.3144652362
200	0.3134663188
201	0.3124633588
202	0.3120755653
203	0.3116409711
204	0.3110618209
205	0.3106605416
206	0.3103435799
207	0.3099511808
208	0.308989815
209	0.307696135
210	0.3074145889
211	0.3066025784
212	0.3063894491
213	0.3058842109
214	0.3056214966
215	0.3050444446
216	0.3038520542
217	0.3032296913
218	0.3027753419
219	0.3017039736
220	0.3013234505
221	0.3008496782
222	0.3004619911
223	0.2999653662
224	0.2989277807
225	0.298709272
226	0.2983009253
227	0.2977729378
228	0.2974952188
229	0.2969287996
230	0.2965335518
231	0.2962731463
232	0.2957945159
233	0.2955386481
234	0.2947991669
235	0.2945176226
236	0.2941386869
237	0.293621236
238	0.2932842452
239	0.2930205175
240	0.2927183401
241	0.2922489155
242	0.2919508643
243	0.2918945371
244	0.2916969929
245	0.2911049905
246	0.2907870656
247	0.2899128182
248	0.2891663133
249	0.2890218043
250	0.2885329998
251	0.2882593101
252	0.2875761655
253	0.2869908595
254	0.2867643564
255	0.2861647409
256	0.2856102927
257	0.2851552291
258	0.2845722561
259	0.2842845842
260	0.2841276786
261	0.2838450834
262	0.2835281442
263	0.283173441
264	0.2826972691
265	0.2821815267
266	0.2818260207
267	0.2813978099
268	0.2809019816
269	0.2805039712
270	0.2801292934
271	0.2800185109
272	0.2797900936
273	0.2794864546
274	0.279110124
275	0.2788418421
276	0.2784446567
277	0.2781499724
278	0.277783411
279	0.2775848916
280	0.2771069664
281	0.2768578338
282	0.2763923601
283	0.2757777228
284	0.2753051113
285	0.2752511274
286	0.2746001121
287	0.2742584128
288	0.27391381
289	0.2736940777
290	0.2734177877
291	0.2730342987
292	0.2726744022
293	0.272551476
294	0.2724014988
295	0.2720359653
296	0.2716559278
297	0.2715032465
298	0.2705227613
299	0.2702697382
300	0.2700544155
301	0.2697267493
302	0.2694105515
303	0.2691509536
304	0.2689848561
305	0.268607026
306	0.2682076545
307	0.2675260025
308	0.2672687619
309	0.267015127
310	0.2666156855
311	0.2661118655
312	0.2659376607
313	0.2652502275
314	0.2650283024
315	0.2644660927
