bootstrap_variant,kind,method_or_delta,metric,official_point_estimate,bootstrap_mean,ci_low,ci_high,crosses_zero,statistically_stable,n_iterations
stratified_gold_story,metric,semantic_only,pairwise_f1,0.12113564668769715,0.17887209758820513,0.13899078062532189,0.23000380420230035,,,1000
stratified_gold_story,metric,semantic_only,adjusted_rand_index,0.10646177639491755,0.15822050008234728,0.1168364338117516,0.21151487643389788,,,1000
stratified_gold_story,metric,semantic_only,nmi,0.7919272574538463,0.8062407477757294,0.7710324857249918,0.8405706075127675,,,1000
stratified_gold_story,metric,semantic_only,false_merge_rate,0.07803392014997511,0.0784247138445599,0.046271160519783305,0.11424247157021646,,,1000
stratified_gold_story,metric,semantic_only,false_split_rate,0.5555555555555556,0.5514847057248419,0.45447214076246334,0.6581140350877192,,,1000
stratified_gold_story,metric,semantic_only,post_assignment_accuracy,0.609375,0.6278819997874027,0.5342465753424658,0.718329640765944,,,1000
stratified_gold_story,metric,semantic_only,singleton_predicted_rate,0.5789473684210527,0.5211001205444702,0.45454545454545453,0.5867058823529412,,,1000
stratified_gold_story,metric,hybrid_v4_1_soft_entity_penalty,pairwise_f1,0.2688081149619611,0.3518311266682659,0.25063396216180617,0.4649570986633461,,,1000
stratified_gold_story,metric,hybrid_v4_1_soft_entity_penalty,adjusted_rand_index,0.2588848792953635,0.33949344624770084,0.23616379954842204,0.4557049945793404,,,1000
stratified_gold_story,metric,hybrid_v4_1_soft_entity_penalty,nmi,0.8763853396049572,0.8868839342200667,0.8634654843046581,0.9107703701658802,,,1000
stratified_gold_story,metric,hybrid_v4_1_soft_entity_penalty,false_merge_rate,0.02079732856849937,0.020567027755795168,0.011480056602660126,0.031499287580335,,,1000
stratified_gold_story,metric,hybrid_v4_1_soft_entity_penalty,false_split_rate,0.5,0.49733869907375633,0.3939393939393939,0.6,,,1000
stratified_gold_story,metric,hybrid_v4_1_soft_entity_penalty,post_assignment_accuracy,0.546875,0.5682311456962409,0.4753995901639344,0.6710526315789473,,,1000
stratified_gold_story,metric,hybrid_v4_1_soft_entity_penalty,singleton_predicted_rate,0.6885245901639344,0.6294170498080223,0.575,0.6785824514991182,,,1000
stratified_gold_story,metric,deepseek_chat_llm,pairwise_f1,0.2948207171314741,0.3809851822682171,0.26546720458094747,0.5009712567740946,,,1000
stratified_gold_story,metric,deepseek_chat_llm,adjusted_rand_index,0.2850493675289847,0.3688145182855353,0.2514980113107793,0.4914833921858742,,,1000
stratified_gold_story,metric,deepseek_chat_llm,nmi,0.8706836522575482,0.8822891349227935,0.8608614313617051,0.9057129922874112,,,1000
stratified_gold_story,metric,deepseek_chat_llm,false_merge_rate,0.022144761123641582,0.02216167020409063,0.01282971487288109,0.032590618177562564,,,1000
stratified_gold_story,metric,deepseek_chat_llm,false_split_rate,0.48148148148148145,0.47973009474414663,0.3822768762677485,0.5807123655913978,,,1000
stratified_gold_story,metric,deepseek_chat_llm,post_assignment_accuracy,0.6015625,0.6224783607148341,0.5277777777777778,0.7200555555555554,,,1000
stratified_gold_story,metric,deepseek_chat_llm,singleton_predicted_rate,0.5663716814159292,0.5196242144192199,0.4492753623188406,0.5853658536585366,,,1000
stratified_gold_story,delta,hybrid_minus_semantic,pairwise_f1,0.14767246827426395,0.17295902908006075,0.06658677421737842,0.2787974110067449,false,yes,1000
stratified_gold_story,delta,hybrid_minus_semantic,adjusted_rand_index,0.15242310290044597,0.18127294616535355,0.07041701327898744,0.29180988354966286,false,yes,1000
stratified_gold_story,delta,hybrid_minus_semantic,nmi,0.08445808215111095,0.0806431864443373,0.050878320176629944,0.11376265717397684,false,yes,1000
stratified_gold_story,delta,hybrid_minus_semantic,false_merge_rate,-0.05723659158147574,-0.057857686088764744,-0.09558401824948982,-0.024518081721710525,false,yes,1000
stratified_gold_story,delta,hybrid_minus_semantic,false_split_rate,-0.05555555555555558,-0.0541460066510856,-0.15151515151515155,0.0312752016129032,true,no,1000
stratified_gold_story,delta,hybrid_minus_semantic,post_assignment_accuracy,-0.0625,-0.05965085409116177,-0.14634146341463405,0.04054054054054046,true,no,1000
stratified_gold_story,delta,hybrid_minus_semantic,singleton_predicted_rate,0.10957722174288176,0.1083169292635521,0.04440188172043007,0.16683818872919132,false,yes,1000
stratified_gold_story,delta,hybrid_minus_deepseek,pairwise_f1,-0.02601260216951301,-0.029154055599951222,-0.11931627782974916,0.06302198959043151,true,no,1000
stratified_gold_story,delta,hybrid_minus_deepseek,adjusted_rand_index,-0.026164488233621164,-0.02932107203783452,-0.12295473926465146,0.06473822053665154,true,no,1000
stratified_gold_story,delta,hybrid_minus_deepseek,nmi,0.005701687347409057,0.004594799297273353,-0.016386202401621707,0.024319807755237302,true,no,1000
stratified_gold_story,delta,hybrid_minus_deepseek,false_merge_rate,-0.0013474325551422126,-0.0015946424482954598,-0.012214999862820226,0.009336921399651721,true,no,1000
stratified_gold_story,delta,hybrid_minus_deepseek,false_split_rate,0.018518518518518545,0.01760860432960976,-0.0357142857142857,0.08339285714285713,true,no,1000
stratified_gold_story,delta,hybrid_minus_deepseek,post_assignment_accuracy,-0.0546875,-0.05424721501859311,-0.1279144305307096,0.014931026684758065,true,no,1000
stratified_gold_story,delta,hybrid_minus_deepseek,singleton_predicted_rate,0.12215290874800522,0.10979283538880234,0.05007494336655252,0.16976210636774908,false,yes,1000
